package	downloads	summary
36	bamtools	67523	C++ API & command-line toolkit for working with BAM data
37	salmon	67026	Highly-accurate & wicked fast transcript-level quantification from RNA-seq reads using selective alignment
38	dendropy	61774	A Python library for phylogenetics and phylogenetic computing: reading, writing, simulation, processing and manipulation of phylogenetic trees (phylogenies) and characters.
39	qualimap	60767	Quality control of alignment sequencing data and its derivatives like feature counts
40	deeptools	60469	A set of user-friendly tools for normalization and visualzation of deep-sequencing data
41	tidyp	60384	Program for cleaning up and validating HTML
42	raxml	59983	Phylogenetics - Randomized Axelerated Maximum Likelihood.
43	seqkit	59056	
44	clustalw	58010	ClustalW2 is a general purpose multiple sequence alignment program for DNA or proteins.
45	fasttree	57810	FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences
46	ensembl-vep	56845	Ensembl Variant Effect Predictor
47	paml	56274	A package of programs for phylogenetic analyses of DNA or protein sequences using maximum likelihood.
48	t_coffee	55350	A collection of tools for Computing, Evaluating and Manipulating Multiple Alignments of DNA, RNA, Protein Sequences and Structures.
49	sra-tools	54831	SRA Toolkit and SDK from NCBI
50	subread	49353	High-performance read alignment, quantification, and mutation discovery
51	hisat2	49135	Graph-based alignment of next generation sequencing reads to a population of genomes.
52	bcbio-nextgen	48513	Validated, scalable, community developed variant calling, RNA-seq and small RNA analysis
53	sortmerna	47875	SortMeRNA is a biological sequence analysis tool for filtering, mapping and OTU-picking NGS reads.
54	vcftools	47846	A set of tools written in Perl and C++ for working with VCF files. This package only contains the C++ libraries whereas the package perl-vcftools-vcf contains the perl libraries
55	ucsc-bedgraphtobigwig	47614	Convert a bedGraph file to bigWig format.
56	adapterremoval	46366	The AdapterRemoval v2 tool for merging and clipping reads.
57	viennarna	46334	Vienna RNA package -- RNA secondary structure prediction and comparison
58	trimmomatic	45824	A flexible read trimming tool for Illumina NGS data
59	spades	45181	SPAdes (St. Petersburg genome assembler) is intended for both standard isolates and single-cell MDA bacteria assemblies.
60	seqtk	44265	Seqtk is a fast and lightweight tool for processing sequences in the FASTA or FASTQ format
61	sickle-trim	43725	Windowed Adaptive Trimming for fastq files using quality
62	prodigal	41832	Prodigal (Prokaryotic Dynamic Programming Genefinding Algorithm) is a microbial (bacterial and archaeal) gene finding program
63	bedops	41101	High-performance genomic feature operations.
64	ncls	41016	Fast overlap datastructure.
65	sepp	40259	SATe-enabled phylogenetic placement
66	freebayes	39344	Bayesian haplotype-based polymorphism discovery and genotyping
67	sina	39211	Reference based multiple sequence alignment
68	avro-python3	39174	Avro is a serialization and RPC framework.
69	muscle	38714	MUSCLE: multiple sequence alignment with high accuracy and high throughput
70	fastx_toolkit	37524	The FASTX-Toolkit is a collection of command line tools for
Short-Reads FASTA/FASTQ files preprocessing.

Next-Generation sequencing machines usually produce FASTA or FASTQ files,
containing multiple short-reads sequences (possibly with quality
information).

The main processing of such FASTA/FASTQ files is mapping (aka aligning) the
sequences to reference genomes or other databases using specialized
programs. Example of such mapping programs are: Blat, SHRiMP, LastZ, MAQ
and many many others

However, it is sometimes more productive to preprocess the FASTA/FASTQ files
before mapping the sequences to the genome - manipulating the sequences to
produce better mapping results.

The FASTX-Toolkit tools perform some of these preprocessing tasks.'

71	snpeff	37244	Genetic variant annotation and effect prediction toolbox
72	galaxy-lib	37161	Subset of Galaxy (http://galaxyproject.org/) core code base designed to be used a library.
73	gatk	36914	The full Genome Analysis Toolkit (GATK) framework, v3
74	trim-galore	36908	Trim Galore! is a wrapper script to automate quality and adapter trimming as well as quality control
75	ucsc-fatotwobit	36248	Convert DNA from fasta to 2bit format
76	pyranges	35341	GenomicRanges for Python.
77	vardict	34970	A sensitive variant caller for both single and paired sample variant calling
78	stringtie	34194	StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.
79	sorted_nearest	33990	
80	deblur	33559	Deblur is a greedy deconvolution algorithm based on known read error profiles.
81	racon	32793	Ultrafast consensus module for raw de novo genome assembly of long uncorrected reads.
82	infernal	32728	Infernal ("INFERence of RNA ALignment") is for searching DNA sequence databases for RNA structure and sequence similarities.
83	sourmash	32647	Compute and compare MinHash signatures for DNA data sets.
84	abundancebin	32587	Abundance-based tool for binning metagenomic sequences
85	ncbi-ngs-sdk	32470	NGS is a new, domain-specific API for accessing reads, alignments and pileups produced from Next Generation Sequencing.
86	unifrac	32415	Fast phylogenetic diversity calculations
87	seqan	32159	SeqAn is an open source C++ library of efficient algorithms and data structures for the analysis of sequences with the focus on biological data.
88	py2bit	31718	A package for accessing 2bit files using lib2bit
89	pyrle	31641	Genomic Rle-objects for Python
90	biobambam	31023	Tools for early stage alignment file processing
91	varscan	30559	variant detection in massively parallel sequencing data
92	htseq	30333	HTSeq is a Python library to facilitate processing and analysis of data from high-throughput sequencing (HTS) experiments.
93	vardict-java	30258	Java port of the VarDict variant discovery program
94	cnvkit	30174	Copy number variant detection from high-throughput sequencing
95	gneiss	30161	Compositional data analysis tools and visualizations
96	k8	30030	Lightweight JavaScript shell based on Google's V8 JavaScript engine
97	kallisto	29298	Quantifying abundances of transcripts from RNA-Seq data, or more generally of target sequences using high-throughput sequencing reads.
98	gffutils	28670	Work with GFF and GTF files in a flexible database framework
99	medaka	28492	Neural network sequence error correction.
100	fwdpy11	28309	Forward-time population genetic simulation in Python.
